id	text	language
ParlaMint-UA_2017-12-05-m0.u1.p1.sent1	Доброго ранку!	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p1.sent2	Я прошу народних депутатів заходити в зал і приготуватись до реєстрації.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p2.sent1	Можемо проводити реєстрацію?	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p2.sent2	Можемо.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p2.sent3	Тоді, колеги, прошу провести реєстрацію для участі в ранковому засіданні.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p2.sent4	Прошу зареєструватись.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p3.sent1	Зареєстровано 339 народних депутатів.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p3.sent2	Ранкове пленарне засідання Верховної Ради України оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent1	Колеги, сьогодні день народження народного депутата Вадима Григоровича Нестеренка.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent2	Привітаємо його.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent3	І також, колеги, сьогодні міжнародний день волонтерів.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent4	Волонтерство стало справжнім українським феноменом і ознакою сучасної України.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent5	І під час Революції Гідності, і з початком російської агресії ми всі стали свідками народження всенародного волонтерського руху.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent6	Українці пліч-о-пліч об’єднувалися для допомоги війську, кожен робив і робить що може.	UKRAINIAN
ParlaMint-UA_2017-12-05-m0.u1.p4.sent7	Волонтери доставляють на фронт необхідне, плетуть маскувальні сітки, шиють одяг для військових, готують консервації і навіть демонтують бронетехніку.	UKRAINIAN
