id	text
ParlaMint-UA_2017-06-20-m0.u1.p1.sent1	Доброго ранку!
ParlaMint-UA_2017-06-20-m0.u1.p1.sent2	Прошу заходити в зал, приготуватись до реєстрації.
ParlaMint-UA_2017-06-20-m0.u1.p2.sent1	Колеги, можемо проводити реєстрацію?
ParlaMint-UA_2017-06-20-m0.u1.p2.sent2	Прошу займати робочі місця.
ParlaMint-UA_2017-06-20-m0.u1.p2.sent3	Прошу провести реєстрацію.
ParlaMint-UA_2017-06-20-m0.u1.p3.sent1	Зареєстровано 369 народних депутатів.
ParlaMint-UA_2017-06-20-m0.u1.p3.sent2	Ранкове пленарне засідання Верховної Ради України оголошую відкритим.
ParlaMint-UA_2017-06-20-m0.u1.p4.sent1	Сьогодні у нас день народження народного депутата Тараса Івановича Батенка.
ParlaMint-UA_2017-06-20-m0.u1.p4.sent2	Тарасе Івановичу, вітаємо з днем народження.
ParlaMint-UA_2017-06-20-m0.u1.p5.sent1	Колеги, хочу вас проінформувати, що 12-17 червня я та народні депутати перебували у Вашингтоні з робочим візитом.
ParlaMint-UA_2017-06-20-m0.u1.p5.sent2	Під час візиту відбулось підписання Меморандуму про співробітництво між парламентом України та Конгресом Сполучених Штатів Америки.
ParlaMint-UA_2017-06-20-m0.u1.p5.sent3	Я хочу подякувати усім народним депутатам, а особливо членам групи дружби із Сполученими Штатами Америки, членам Комітету у закордонних справах за підготовку меморандуму.
ParlaMint-UA_2017-06-20-m0.u1.p5.sent4	І я впевнений, що цей меморандум виведе на новий рівень співробітництво між українським парламентом і конгресом.
ParlaMint-UA_2017-06-20-m0.u1.p5.sent5	Дуже важливо, що в меморандумі зазначається, що Україна є форпостом західної цивілізації у захисті Європи від Російської Федерації.
ParlaMint-UA_2017-06-20-m0.u1.p5.sent6	Це цей меморандум, колеги, і я всіх вас вітаю з важливим кроком міжпарламентської співпраці між Україною і Сполученими Штатами Америки, колеги.
ParlaMint-UA_2017-06-20-m0.u1.p6.sent1	Також хочу повідомити, що в президію надійшла заява на перерву від двох фракцій "Блоку Петра Порошенка" і "Народного фронту".
ParlaMint-UA_2017-06-20-m0.u1.p6.sent2	Але обидві фракції згодились, що замість перерви вони погоджуються на виступ від трибуни.
ParlaMint-UA_2017-06-20-m0.u1.p6.sent3	Хто буде виступати?
ParlaMint-UA_2017-06-20-m0.u1.p6.sent4	Юринець, так.
ParlaMint-UA_2017-06-20-m0.u1.p7.sent1	Будь ласка, до трибуни запрошується Оксана Юринець.
ParlaMint-UA_2017-06-20-m0.u1.p7.sent2	Доброго дня, пані Оксана.
ParlaMint-UA_2017-06-20-m0.u2.p1.sent1	Шановний пане Голово, шановні народні депутати, шановні українці, але насамперед мої рідні львів’яни, не хотілося б, щоб з цієї високої трибуни волав голос пустелі, з найвищого органу України заяви, що сьогодні Львів фактично гине.
ParlaMint-UA_2017-06-20-m0.u2.p1.sent2	З центральноєвропейського міста він перетворюється на смердюче сміттєзвалище, а ще гірше, в екологічно загрозливе місце.
ParlaMint-UA_2017-06-20-m0.u2.p1.sent3	Бо, коли температура повітря перестає.
ParlaMint-UA_2017-06-20-m0.u2.p1.sent4	пересікає позначки найвищої, це стає загрозою для здоров’я мешканців нашого міста.
ParlaMint-UA_2017-06-20-m0.u2.p2.sent1	Насамперед хотіла б звернутися до представників фракції "Самопоміч".
ParlaMint-UA_2017-06-20-m0.u2.p2.sent2	Я вкотре повторюю, в єдності наша сила.
ParlaMint-UA_2017-06-20-m0.u2.p2.sent3	І нам потрібно рятувати не Андрія Івановича, а мешканців і гостей Львова від сміття.
ParlaMint-UA_2017-06-20-m0.u2.p3.sent1	Пане Садовий, ви протягом трьох каденцій мали можливість вирішити цю сміттєву проблему.
ParlaMint-UA_2017-06-20-m0.u2.p3.sent2	Але навіть трагедія на Грибовицькому сміттєзвалищі, коли минулого року загинули люди, не підштовхнула вас до цього.
ParlaMint-UA_2017-06-20-m0.u2.p3.sent3	І це при тому, що прибирання сміття було однією з головних ваших передвиборчих обіцянок, не кажучи вже про те, що саме ваш безпосередній обов’язок як очільника міста і як 30 стаття Закону про місцеве самоврядування.
ParlaMint-UA_2017-06-20-m0.u2.p3.sent4	Коли я в себе вдома господар і маю всі для цього можливості, прибираю і своє сміття сам.
ParlaMint-UA_2017-06-20-m0.u2.p3.sent5	Мені як більшості свідомих людей вважаю, декілька цифр дуже голослівними.
ParlaMint-UA_2017-06-20-m0.u2.p4.sent1	За рік від часу трагедії на Грибовичах Львівська міська рада витратила 350 мільйонів на транспортування сміття, куди тільки можна, по всій Україні.
ParlaMint-UA_2017-06-20-m0.u2.p4.sent2	Це при тому, що уряд виділив 14 майданчиків для цього саме в Львівській області.
ParlaMint-UA_2017-06-20-m0.u2.p4.sent3	Проте львівська влада чомусь вибрала ними не скористатися.
ParlaMint-UA_2017-06-20-m0.u2.p5.sent1	Можна було б опилювати і до відсутності грошей.
