cnt	orgID	isFraction	term	postID	orgName	postName
1	1	unknown	9	1	Керівництво Верховної Ради України	Голова Верховної Ради України
1	1	unknown	9	2	Керівництво Верховної Ради України	Перший заступник Голови Верховної Ради України
1	1	unknown	9	3	Керівництво Верховної Ради України	Заступник Голови Верховної Ради України
1	3002	unknown	9	4	Комітету Верховної Ради України з питань аграрної та земельної політики	Голова Комітету Верховної Ради України
3	3002	unknown	9	5	Комітету Верховної Ради України з питань аграрної та земельної політики	Заступник голови Комітету Верховної Ради України
1	3002	unknown	9	7	Комітету Верховної Ради України з питань аграрної та земельної політики	Секретар Комітету Верховної Ради України
16	3002	unknown	9	8	Комітету Верховної Ради України з питань аграрної та земельної політики	Член Комітету Верховної Ради України
1	3002	unknown	9	916	Комітету Верховної Ради України з питань аграрної та земельної політики	Перший заступник голови Комітету Верховної Ради України
1	3003	unknown	9	4	Комітету Верховної Ради України з питань антикорупційної політики	Голова Комітету Верховної Ради України
2	3003	unknown	9	5	Комітету Верховної Ради України з питань антикорупційної політики	Заступник голови Комітету Верховної Ради України
1	3003	unknown	9	7	Комітету Верховної Ради України з питань антикорупційної політики	Секретар Комітету Верховної Ради України
4	3003	unknown	9	8	Комітету Верховної Ради України з питань антикорупційної політики	Член Комітету Верховної Ради України
1	3003	unknown	9	916	Комітету Верховної Ради України з питань антикорупційної політики	Перший заступник голови Комітету Верховної Ради України
1	3004	unknown	9	4	Комітету Верховної Ради України з питань бюджету	Голова Комітету Верховної Ради України
4	3004	unknown	9	5	Комітету Верховної Ради України з питань бюджету	Заступник голови Комітету Верховної Ради України
1	3004	unknown	9	7	Комітету Верховної Ради України з питань бюджету	Секретар Комітету Верховної Ради України
19	3004	unknown	9	8	Комітету Верховної Ради України з питань бюджету	Член Комітету Верховної Ради України
1	3004	unknown	9	916	Комітету Верховної Ради України з питань бюджету	Перший заступник голови Комітету Верховної Ради України
1	3005	unknown	9	4	Комітету Верховної Ради України з питань гуманітарної та інформаційної політики	Голова Комітету Верховної Ради України
