OrgID	EventID	From	To	Label_en	Label_uk
GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	2nd Azarov govt	
GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	1st Yatseniuk govt	
GOV.UA	GOV.UA.2stYatseniuk	2014-11-27	2016-04-14	2st Yatseniuk govt	
GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	Hroisman govt	
GOV.UA	GOV.UA.Honcharuk	2019-08-29	2020-03-04	Honcharuk govt	
GOV.UA	GOV.UA.Shmyhal	2020-03-04	present	Shmyhal govt	
Ukraine	4thPresidency	2010-02-25	2014-02-22	4th Presidency	
Ukraine	ActingPresidency	2014-02-23	2014-06-07	Acting Presidency	
Ukraine	5thPresidency	2014-06-07	2019-05-20	5th Presidency	
Ukraine	6thPresidency	2019-05-20	present	6th Presidency	
ВРУ	ВРУ.1			Term 1	Верховна Рада I скликання (березень-квітень 1990 — 11 травня 1994)
ВРУ	ВРУ.2			Term 2	Верховна Рада II скликання (11 травня 1994 — 12 травня 1998)
ВРУ	ВРУ.3			Term 3	Верховна Рада III скликання (12 травня 1998 — 14 травня 2002)
ВРУ	ВРУ.4			Term 4	Верховна Рада IV скликання (14 травня 2002 — 25 травня 2006)
ВРУ	ВРУ.5			Term 5	Верховна Рада V скликання (25 травня 2006 — 23 листопада 2007)
ВРУ	ВРУ.6			Term 6	Верховна Рада VI скликання (23 листопада 2007 — 12 грудня 2012)
ВРУ	ВРУ.7			Term 7	Верховна Рада VII скликання (12 грудня 2012 — 27 листопада 2014)
ВРУ	ВРУ.8			Term 8	Верховна Рада VIII скликання (27 листопада 2014 — 29 серпня 2019)
ВРУ	ВРУ.9			Term 9	Верховна Рада IX скликання (з 29 серпня 2019)
