OrgID	From	To	Role	Ana	OrgNameFull_en	OrgNameFull_uk	OrgNameAbb_en	OrgNameAbb_uk	RadaIDs	RadaName	Sources	Note
ВРУ	1991-08-24		parliament	parla.uni;parla.national	Verkhovna Rada of Ukraine	Верховна Рада України	VRU	ВРУ			https://www.rada.gov.ua/ ; https://en.wikipedia.org/wiki/Verkhovna_Rada;https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%85%D0%BE%D0%B2%D0%BD%D0%B0_%D0%A0%D0%B0%D0%B4%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8	
GOV.UA	2012-12-24	present	government		Cabinet of Ministers of Ukraine	Кабінет Міністрів України	govt	Уряд			https://www.kmu.gov.ua/ ; https://en.wikipedia.org/wiki/Government_of_Ukraine	
Ukraine	2010-02-25	present	republic		President of Ukraine	Президент України	UA	Президент			https://www.president.gov.ua/ ;https://en.wikipedia.org/wiki/President_of_Ukraine 	
pp.NRU	1905-06-11	present	politicalParty		People's Movement of Ukraine	Політична партія "Народний Рух України"	NRU	НРУ			https://en.wikipedia.org/wiki/People%27s_Movement_of_Ukraine	
pp.UNP	1999-12-31	present	politicalParty		Ukrainian People's Party	Українська народна партія	UNP	УНП	104		https://en.wikipedia.org/wiki/Ukrainian_People%27s_Party ; https://www.unp.ua/	
pp.PP	1992-12-21	2000-11-18	politicalParty		Party of Labor	Партія праці	PP	ПП			https://en.wikipedia.org/wiki/Party_of_Labor_(Ukraine)	
pp.SDPU	1996-07-01		politicalParty		Social Democratic Party of Ukraine (united)	Соціал-демократична партія України (об'єднана)	SDPU	СДПУ(о)	53		https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Ukraine_(united)	
pp.Hrom	1994-03-22		politicalParty		All-Ukrainian Association "Community"	Всеукраїнське об'єднання «Громада»	Hrom				https://en.wikipedia.org/wiki/Hromada_(political_party)	
pp.PRP	1997-10-24		politicalParty		Party Reform and Order	Партія «Реформи і порядок»	PRP	РіП			https://en.wikipedia.org/wiki/Reforms_and_Order_Party	
pp.CPSU	1905-05-05	1991-11-06	politicalParty		Communist Party of the Soviet Union	Комуністична партія Радянського Союзу	CPSU	КПРС			https://en.wikipedia.org/wiki/Communist_Party_of_the_Soviet_Union	
pp.Reg	1997-11-06	2014-03-29 (de facto)	politicalParty		Party of Regions	Політична партія "Партія регіонів"	PR	ПР	94		https://en.wikipedia.org/wiki/Party_of_Regions ; https://minjust.gov.ua/m/4561 ; https://web.archive.org/web/20140228100742/http://partyofregions.ua/ua/person/4fd9b0b9254d29f747000002# ; https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D1%82%D1%96%D1%8F_%D1%80%D0%B5%D0%B3%D1%96%D0%BE%D0%BD%D1%96%D0%B2ж ; https://web.archive.org/web/20140301063149/http://partyofregions.ua/ua/about	
pp.OB	2010-04-23	2022	politicalParty		Opposition Bloc	Політична партія «Опозиційний блок»	OB	Опоблок	-540;213		https://en.wikipedia.org/wiki/Opposition_Bloc	
