cnt	partyID	partyName
12	-533	Політична партія Всеукраїнське об'єднання "Свобода"
1	-539	Правий сектор
2	-540	Політична партія "ОПОЗИЦІЙНИЙ БЛОК"
1	-541	ПП "Воля"
6	-542	Політична партія Всеукраїнське об'єднання "Свобода"
1	-543	Об'єднання "Самопоміч"
18	-544	Народний Фронт
1	-545	Сильна Україна
1	-547	Заступ
144	0	Самовисування
1	104	Українська Народна Партія
31	117	політична партія Всеукраїнське об'єднання "Свобода"
31	117	Політична партія Всеукраїнське об'єднання "Свобода"
150	17	Політична партія Всеукраїнське об'єднання "Батьківщина"
108	17	політична партія Всеукраїнське об'єднання "Батьківщина"
2	170	Народна Партія
4	192	Політична партія Єдиний Центр
27	206	Радикальна Партія Олега Ляшка
44	207	Політична партія "УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"
149	210	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
76	211	Політична партія "НАРОДНИЙ ФРОНТ"
33	212	Політична партія "Об'єднання "САМОПОМІЧ"
29	213	Політична партія "Опозиційний блок"
2	213	Політична партія "ОПОЗИЦІЙНИЙ БЛОК"
1	220	політична партія Конгрес Українських Націоналістів
1	220	Політична партія Конгрес Українських Націоналістів
3	224	ПОЛІТИЧНА ПАРТІЯ "УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"
3	224	ПОЛІТИЧНА ПАРТІЯ "УКРАЇНСЬКЕ ОБ'ЄДНАННЯ ПАТРІОТІВ – УКРОП"
4	225	ПОЛІТИЧНА ПАРТІЯ "НАШ КРАЙ"
32	226	ПОЛІТИЧНА ПАРТІЯ "СЛУГА НАРОДУ"
42	227	Політична партія "ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ"
16	228	Політична партія "Європейська Солідарність"
13	229	Політична Партія "ГОЛОС"
1	230	ПОЛІТИЧНА ПАРТІЯ "ЗА КОНКРЕТНІ СПРАВИ"
1	35	Партія "Союз"
1	37	Аграрна партія України
34	5	Комуністична партія України
305	50	Безпартійний
191	94	Партія регіонів
